ZOTUID,ID_str,Kingdom,Phylum,Class,Order,Family,Genus,Species,metabarcode,fishlist_old,fishlist_new,gbifSB,gbif_temptrans,NC,Australian Faunal Directory,Fishbase,Plausible Order [GBIF],Plausible Family [GBIF],Plausible Genus [GBIF],Plausible Species [all platforms],Plausible Rank [GBIF],Possible match on LitList,Summary,Species Hit,Nr. of Genus in DB,Action,Reason,Status
ZOTU1,Eukaryota_Chordata_Actinopteri_Clupeiformes_Clupeidae_Sardinella_NA,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinella,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU319,Eukaryota_Chordata_Actinopteri_Albuliformes_Albulidae_Albula_Albula glossodonta,Eukaryota,Chordata,Actinopteri,Albuliformes,Albulidae,Albula,Albula glossodonta,MiFish12S,0,0,0,0,0,no,"Indo-Pacific: Red Sea to the Hawaiian and Tuamoto Islands, north to southern Japan, south to Lord Howe Island, Australia; throughout Micronesia.",yes,yes,no,no,Family,NA,"IUCN redlist: Vulnerable. Not many entries of this species, distribution a bit unclear, Genus Albula has occurences around AUS (not SB specifically) 
",1,4,Reassigned to family level,"Genus distribution in northern, tropical regions near Shark Bay",done 13.05.2024
ZOTU457,Eukaryota_Chordata_Actinopteri_Anguilliformes_Ophichthidae_Scolecenchelys_NA,Eukaryota,Chordata,Actinopteri,Anguilliformes,Ophichthidae,Scolecenchelys,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,NA,NA,NA,Genus seems to be around the wholes AUS but not in SB,NA,NA,Reassigned to family level,"Genus distribution in northern, tropical regions near Shark Bay",done 13.05.2024
ZOTU102,Eukaryota_Chordata_Actinopteri_Kurtiformes_Apogonidae_Jaydia_NA,Eukaryota,Chordata,Actinopteri,Kurtiformes,Apogonidae,Jaydia,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU103,Eukaryota_Chordata_Actinopteri_Clupeiformes_Chirocentridae_Chirocentrus_Chirocentrus dorab,Eukaryota,Chordata,Actinopteri,Clupeiformes,Chirocentridae,Chirocentrus,Chirocentrus dorab,MiFish12S,0,0,0,0,0,Dist in Northern Regions of AUS,"Indo-Pacific: probably throughout the warmer coastal waters, from the Red Sea and East Africa to the Solomon Islands, north to southern Japan, south to northern Australia. Recently reported from Tonga (Ref. 53797).",yes,no,no,no,Order,Actinopteri,More northern Australia (up until order level),0.97 and 0.96,3,Reassign to Order level,"Family distribution in northern, tropical regions near Shark bay",done 14.05.2024
ZOTU104,Eukaryota_Chordata_Actinopteri_Clupeiformes_NA_NA_NA,Eukaryota,Chordata,Actinopteri,Clupeiformes,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU105,Eukaryota_Chordata_Actinopteri_Scombriformes_Scombridae_Thunnus_NA,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU106,Eukaryota_Chordata_Actinopteri_Labriformes_NA_NA_NA,Eukaryota,Chordata,Actinopteri,Labriformes,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU107,Eukaryota_Chordata_Actinopteri_Lutjaniformes_Lutjanidae_Lutjanus_Lutjanus carponotatus,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus carponotatus,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU108,Eukaryota_Chordata_Actinopteri_Tetraodontiformes_Tetraodontidae_NA_NA,Eukaryota,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
