#OTU ID	M1000	M1001	M1002	M1003	M1004	M1005	M1006	M1007	M1008	M1009	M1010	M1011	M1012	M1013	M1014	M1015	M1016	M1017	M1018	M1019	M1020	M1021	M1022	M1023	M1024	M1025	M1026	M1027	M1028	M1029	M1030	M1031	M1032	M1033	M1034	M1035	M1036	M1037	M1038	M1039	M1040	M1041	M1042	M1043	M1044	M1045	M1046	M1047	M1048	M1049	M1050	M1051	M1052	M1053	M1054	M1055	M1056	M1057	M1058	M1059	M1060	M1061	M1062	M1063	M1064	M1065	M1066	M1067	M1068	M1069	M1070	M1071	M1072	M1073	M1074	M1075	M1076	M1077	M1078	M1079	M1080	M1081	M1082	M1083	M1084	M1085	M1086	M1087	M1088	M1089	M1090	M1091	M1092	M1093	M1094	M1095	M1096	M1097	M1098	M1099	M1100	M1101	M1102	M1103	M1104	M1105	M1106	M1107	M1108	M1109	M1110	M1111	M1112	M1113	M1114	M1115	M1116	M1117	M1118	M1119	M1120	M1121	M1122	M1123	M1124	M1125	M1126	M1127	M1128	M1129	M1130	M1131	M1132	M1133	M2000	M2001	M2002	M2003	M2004	M2005	M2006	M2007	M2008	M2009	M2010	M2011	M2012	M2013	M2014	M2015	M2016	M2017	M2018	M2019	M2020	M2021	M2022	M2023	M2024	M2025	M2026	M2027	M2028	M2029	M2030	M2031	M2032	M2033	M2034	M2035	M2036	M2037	M2038	M2039	M2040	M2041	M2042	M2043	M2044	M2045	M2046	M2047	M2048	M2049	M2050	M2051	M2052	M2053	M2054	M2055	M2056	M2057	M2058	M2059	M2060	M2061	M2062	M2063	M2064	M2065	M2066	M2067	M2068	M2069	M2070	M2071	M2072	M2073	M2074	M2075	M2076	M2077	M2078	M2079	M2080	M2081	M2082	M2083	M2084	M2085	M2086	M2087	M2088	M2089	M2090	M2091	M2092	M2093	M2094	M2095	M2096	M2097	M2098	M2099	M2100	M2101	M2102	M2103	M2104	M2105	M2106	M2107	M2108	M2109	M2110	M2111	M2115	M2116	M2117	M2118	M2119	M2120	M2121	M2122	M2123	M2124	M2125	M2126	M2127	M2128	M2129	M2130	M2131	M2132	M2133	M2134	M2135	M2136	M2137	M2138	M2139	M2140	M2141	M2142	M2143	M2144	M2145	MENC1	MENC10	MENC11	MENC12	MENC13	MENC2	MENC3	MENC4	MENC5	MENC6	MENC7	MENC8	MENC9	MMC	MP1NC1	MP1NC2	MP1NC3	MP1NC4	MP2NC1	MP2NC2	MP2NC3	MP2NC4	MP2PC	Consensus Lineage
ZOTU5	22	10890	16283	4619	4711	6502	12362	3906	3192	1318	1207	2029	1000	757	1221	1586	1127	957	177	4303	2456	1643	1601	896	656	415	397	364	304	371	1459	8373	6234	7378	3810	7821	12861	2066	3763	622	1128	702	752	2105	1057	4391	734	3186	1149	235	292	558	15	9	182	364	72	52	189	354	416	556	16	19	732	1250	27	9784	16959	11199	12332	16405	12722	324	467	572	1393	2260	23	139	1657	13	11953	429	5601	10	867	4374	4	4601	2089	18	13	16	18	16	10	4	132	14	7	3	844	168	3	1939	603	175	297	7421	5917	8563	8635	3102	3958	5456	5168	1755	709	555	4867	12610	8150	7220	3430	2506	13565	1693	1274	1996	1622	918	869	4	5	8	670	5	332	1567	2	12	8	3	8	157	3	1	0	6	5	7	8	1182	1910	257	1823	383	888	1597	3131	4686	5998	1494	2252	2081	6460	714	431	480	5	11	8	3	8	5	11	2628	528	473	12	329	339	1127	1	1563	958	0	4	0	10	0	1	0	5	4	1	2	1	5	2	944	1208	324	328	2	3	1099	651	6525	516	162	12	4	9	197	4	2	2	1	220	707	1	0	2	4	1	1	0	3	2	2	1	276	0	0	1	1	0	0	7	1	2	368	5	3	699	11	7	695	2000	2145	576	1707	1856	1674	2372	3604	7842	2259	776	1505	1323	1609	2	0	1	6	5	594	3	2868	4452	3	3	3	0	1	2	1	3	1	13	8	8	11	9	4	9	5	2	8	4	2	0	12	6	0	1	0	 k__Eukaryota_2759; p__Chordata_7711; c__Actinopteri_186623; o__Atheriniformes_8075; f__Atherinidae_69128; g__Atherinomorus_69129
ZOTU24	10	9012	8122	7756	7754	7227	8169	2729	905	1081	288	828	1277	3	2	7	12	3	471	1496	592	1711	2206	1189	1989	279	224	29	160	200	6	1469	331	162	149	399	1573	1	1	218	243	1	675	1938	3348	3240	2511	5	3164	2	2	3	4	5	3	71	108	3	49	117	2	2	7	231	4	220	8	3246	5518	5705	4036	4408	2415	7	8	4	2	6	7	4	2	3416	9	9	2	5	266	0	5	427	5	5	2	5	5	6	3	2	3	2	2	291	377	89	235	1467	111	211	363	2579	655	1850	1763	3992	3820	0	1874	78	146	2	211	2773	6	3	522	2	816	230	2988	1118	302	1	2878	1	2	1	6	2	1	3	0	3	3	2	4	0	1	1	3	0	2	2	0	4	1	3	4	4	1	2	0	0	1	2	0	0	2	4	2	1	3	3	2	0	3	2	2	640	1	8	4	155	0	5	2	1	0	1	0	2	1	1	0	0	2	0	0	0	1	431	0	0	1622	2108	0	0	3	1	154	2	1	0	0	0	1	434	2	3	3	0	0	0	1	0	0	0	1	0	0	0	2	0	1	23	0	33	1	0	0	1	1	1	1	0	585	0	1	2	1	0	0	1	0	2	0	2	1	1	2	1	0	0	0	1	0	1	0	2	1775	0	0	0	0	0	1	1	0	0	0	2	1	0	2	5	2	3	5	4	1	4	0	2	1	0	0	1	1	0	0	1	 k__Eukaryota_2759; p__Chordata_7711; c__Actinopteri_186623; o__Beloniformes_76071; f__Hemiramphidae_88694; g__Hyporhamphus_115870; s__Hyporhamphus_quoyi_129051
ZOTU2	34	4290	9478	4669	3413	2593	3726	19767	13162	9696	6661	9009	9155	3355	10654	12374	21646	7266	11058	14994	11263	12313	33539	14407	8071	5046	11295	1127	13584	8504	18069	9267	6704	5837	34441	12740	6276	6371	11211	7479	7457	5393	2814	996	2675	9944	5570	2331	3539	3710	2509	5731	1873	1632	3054	1374	3450	651	1992	1557	3606	1689	2938	1293	974	566	1272	1737	2260	2340	1094	3021	288	2916	946	2361	4778	7243	3443	57155	11010	4339	6466	2861	4793	1522	3399	1733	12403	5572	5420	2831	18277	410	9235	8075	2732	1464	1084	3857	4389	1921	3759	4730	7028	9997	4781	8721	6741	12922	14414	9034	9854	9101	19335	11144	12317	8552	6758	20095	28948	11075	7335	15171	5845	3297	15136	13855	13236	7645	24974	14659	9084	15	28	23	9	15	19	13	17	16	24	10	15	12	17	9	11	9	17	14	12	175	1559	195	542	275	277	13	776	206	1396	3793	12	19	7572	1322	229	55	14	13	11	28	13	9	16	167	1034	1066	4	104	114	5	1	1908	5	5	5	1	9	9	8	5	12	15	11	1077	12	16	13	11	302	205	360	6	11	4	6	14	6	7	5	6	13	10	7	3	3	4	2	0	5	3	4	2	6	3	2	3	4	1779	1649	809	530	0	1	3	3	2	0	2	2	0	2	2	2	5	4	5	807	1	5	4320	3070	723	1480	2600	295	622	83	1636	1850	3872	2	2	2	6	7	5	4	3	1110	3	3	9	5	2	7	3	5	9	29	28	33	28	15	13	13	4	2	15	7	6	2	24	11	2	2	2	 k__Eukaryota_2759; p__Chordata_7711; c__Actinopteri_186623; f__Siganidae_75382; g__Siganus_75041
ZOTU9	6	341	308	7	1324	903	462	4420	852	166	395	511	667	1768	1874	4290	103	4770	1123	647	476	816	857	343	60	335	1490	26	171	115	3793	104	223	4	67	234	168	298	316	345	134	329	191	1617	2331	3721	8844	5005	1564	2285	2989	1414	7991	3003	1949	52	776	1529	2	6	6	492	310	3	3	811	9	120	283	350	15	12	19	2607	6306	1836	6063	2230	6725	1442	3172	5275	20296	974	2629	2964	1891	4927	9492	14935	4539	5891	768	2074	18053	7211	8772	3970	1953	4	4011	42	5242	150	148	33	437	1001	374	114	1232	35	95	3	211	193	3	4	5	1	697	1	3	6	761	5	1	1954	863	288	214	2	243	2	1	7	6	2	9	3	7	2	6	2	0	0	5	4	2	3	4	4	7	706	124	18	1176	353	5	272	6	97	473	1102	2683	1924	13701	1285	3306	515	2558	5	5	5	10	2	1	1166	2647	7	4	134	0	2	362	3	2	1	4	1	3	0	368	1	4	2	4	1	4	245	3	1	355	53	2	1	7	296	1206	1167	2268	653	95	149	580	377	5	2	1	449	1	1789	495	3	9	16	5	6	1	8	2	10	1	2	3	0	2	1	3	4	5	1	4	2	1	6	3	4245	10	3	1324	3341	8500	9841	10262	6084	12542	15783	18268	3862	6062	10068	10767	4262	4	4	1	18	10	1017	1	4961	21450	5	6039	2096	2	6	5	3	9	5	2	2	4	9	2	1	6	2	5	17	4	9	1	5	0	1	3	7	 k__Eukaryota_2759; p__Chordata_7711; c__Actinopteri_186623; o__Labriformes_1489928; f__Labridae_8247; g__Choerodon_91744; s__Choerodon_schoenleinii_241275
ZOTU144	128	0	2	0	0	0	0	18	18	11	0	0	0	0	0	0	0	0	0	2	0	118	1	0	0	2	0	0	0	0	0	5	0	0	1	0	0	18	0	0	0	1	17	12	0	223	35	134	0	2	1	0	2	6	22	1	0	0	0	0	0	1	0	3	8	0	0	0	0	3	0	0	0	0	7	2	3	0	0	1	0	286	0	0	0	21	2	0	25	2	9	0	0	0	0	0	42	8	0	32	0	0	0	1	1	0	160	3	13	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	1	24	1	6	0	0	0	0	0	0	0	0	0	0	67	0	0	1	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	3	24	0	0	0	0	0	0	0	3	0	0	1	0	2932	0	2	0	0	1	2	0	0	0	0	34	1137	0	0	1	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	8	0	2	0	4	0	0	3	0	0	17	1	0	0	2	1	0	22	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	93	0	0	5	14	0	0	1	0	15	0	0	3	0	0	0	0	168	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	 k__Eukaryota_2759; p__Chordata_7711; c__Mammalia_40674; o__Primates_9443; f__Hominidae_9604; g__Homo_9605; s__Homo_sapiens_9606
ZOTU1	58	30	31	62	32	86	30	50	48	31	247	41	41	424	470	80	64	82	69	69	67	57	80	29	21	24	44	9	37	33	36	29	16	32	27	19	29	23	26	21	36	29	19	28	29	45	774	65	169	802	441	763	53	69	180	4661	7763	3117	6693	6681	10897	20005	17886	7441	8618	14281	16299	1469	4219	2009	2264	1458	1117	1567	37	26	23	58	42	361	758	31	1421	27	30	32	469	2857	25	76	40	1427	5762	1673	5568	3812	6113	2672	319	15	4384	3783	241	1945	1009	3345	3178	3059	1981	39	96	323	67	218	263	22	9	10	574	11	13	16	22	17	16	79	19	25	9	7	8	3	6	6	10	37364	18143	33280	26734	26429	53693	37186	97754	50392	25241	43955	46213	29774	32880	38962	27276	85227	58049	241	586	397	467	291	425	10	10	13	11	518	7	14	23	15	28	8	18	4106	1414	5359	10024	4484	5438	811	1954	6495	45	5585	4495	8255	11828	11169	12728	7580	8848	23701	13408	13790	15066	16573	46415	48824	26103	41208	18846	19423	17756	26371	25208	10824	11316	6138	5478	542	57	615	42	458	38	800	3808	993	1298	2123	28	1202	1535	6632	536	3808	17728	64267	30257	26389	9844	24607	22695	17717	26724	40820	24673	10099	26122	22861	28792	14638	63820	36382	57825	63875	28807	26476	562	2280	42	50	251	425	24	38	31	66	31	59	48	30	24	20	53	42	14196	13712	18044	13007	24983	17302	525	1399	3123	1678	302	1536	31	74	30	43	38	26	48	17	88	44	11	3	9	23	17	37	18	16	22	22	16	24	13	19	 k__Eukaryota_2759; p__Chordata_7711; c__Actinopteri_186623; o__Clupeiformes_32446; f__Clupeidae_55118; g__Sardinella_96885
ZOTU145	1	0	0	185	25	0	0	0	0	0	0	96	0	0	0	0	0	0	0	868	59	32	55	168	37	0	0	0	0	0	342	279	220	67	37	799	607	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	226	287	170	7	73	110	26	0	0	1	1	1	359	0	0	0	0	219	128	8	171	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Eukaryota_2759; p__Chordata_7711; c__Actinopteri_186623; o__Syngnathiformes_129912; f__Callionymidae_30908; g__Callionymus_34784; s__Callionymus_enneactis_1147745
ZOTU14	3	6	1	3	3	4	19	360	4	6	186	56	372	5	124	15	10	2	13	15	29	214	78	63	4	2	61	1	3	1	5	6	3	101	3	4	3	696	4	2	40	7	155	262	404	3	4	2	2	5	283	6	534	2	251	60	1	2	0	1	0	4	2	1	4	4	3	3	7	3	3	4	2	745	5	3	4	1609	5	2	317	0	1521	64	6	5	166	1860	3	14	4	5	2355	5	10	6	854	1	4	1	1	0	615	1	44	0	0	2	4	464	290	798	269	195	3	924	1278	2	1	422	3	2	2	1	482	428	3	1078	170	272	230	1	2	1	3	7507	7658	3070	4767	2497	3045	481	11	2585	4	1657	1346	203	1779	0	2	2	1	417	0	4	128	167	3	4	0	0	0	3	1	16	1265	9	3	3	5	3997	4226	12587	8290	15520	3221	4	0	1	1	157	3191	2181	958	1	4	113	1043	1691	3720	2420	5621	3694	11831	13670	5485	5609	5674	5640	5038	4790	1338	1719	506	1054	1	706	170	5	1	0	6	3	1171	754	1	2506	2	4	270	2927	355	3537	1141	3	2	2	3	1762	7	2	2017	540	607	4	228	4	8	3	7	2	5	1302	356	5959	999	6	1	511	449	325	4	188	5	9	129	8	2	2	5	3	7	8	5171	8427	3628	12842	6034	704	1604	2210	5	4	107	66	3	11	2	5	5	0	3	2	4	4	1	0	2	4	3	7	6	2	0	7	4	8	3	7	 k__Eukaryota_2759; p__Chordata_7711; c__Actinopteri_186623; o__Carangiformes_1489907; f__Carangidae_8157; g__Gnathanodon_326723; s__Gnathanodon_speciosus_326724
ZOTU3	24	1054	429	318	441	954	60	2161	2015	1590	1545	817	1118	1902	43	1779	2890	637	3138	5543	6274	10525	9854	8628	4270	1675	3474	227	4820	1777	6415	2245	777	481	746	921	2447	4319	4546	1343	2789	3517	1847	345	4907	15	21	12	701	38	1599	630	141	9411	797	358	151	429	599	648	713	1265	1789	14	13	289	16	2822	4425	2906	3224	1626	4599	1018	1573	26	1593	1275	2317	298	1083	10432	8136	35300	10938	160	3359	552	2459	38	1959	6063	16	1162	27	6704	34	1055	452	1036	10	194	912	600	18	2378	1658	1092	850	778	2571	674	774	1077	1774	4060	6023	19066	973	1391	4868	1437	919	846	469	10	11	1403	1525	2563	4093	1507	6049	3	3	13	923	6	1762	10	8	18	11	8	2	7	6	2	6	5	6	25	19	19662	15162	10310	14850	11111	23312	10883	9799	15582	18196	6961	14054	27444	41111	10986	10530	5002	18526	17	208	654	2197	9	5	723	1207	5	14	4	1	9	2	9	9	2	1	3	3	3	4	7	10	2119	4	6	10	306	10	9	1633	385	3	4	11	2298	469	3163	11564	2280	1059	11	8	438	9	4	5	393	2	4	3	5	4	6	8	3	2	7	4	5	8	4	0	1	3	0	4	2	16	5	4	5	7	8	8981	10142	28	3149	10641	6323	10757	24072	12214	13708	18377	12004	29951	11418	7407	10586	25025	8952	2	4	6	12	19	7	1	1561	5513	1298	453	1181	4	1	9	7	8	6	4	17	6	20	4	6	15	5	6	15	6	5	3	14	8	8	5	5	 k__Eukaryota_2759; p__Chordata_7711; c__Actinopteri_186623; o__Tetraodontiformes_31022; f__Monacanthidae_143346; g__Monacanthus_303714; s__Monacanthus_chinensis_392921
ZOTU53	4	0	0	284	0	0	0	0	0	0	0	2	0	1	0	0	0	3	4	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	709	1	0	3	237	3	419	950	0	1232	0	353	336	1	46	3	68	262	0	352	2	833	3	2	262	0	46	0	1	0	1744	1034	427	0	2	1	4	2	1	4140	5	1	0	0	1	0	1848	3	4	7744	309	4084	2	1	1276	3	2497	377	272	38	0	2	53	0	73	0	2	2	0	23	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	546	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	267	0	1829	0	1	0	0	0	1	323	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	105	0	4	0	1	0	0	0	0	0	4	0	0	192	0	0	0	0	94	1	0	0	1	0	0	474	2	0	2	3	0	1	0	17982	0	0	0	0	0	0	6	1	0	0	0	1471	0	1	11	0	1	0	2	0	0	5	0	0	0	0	0	0	837	0	0	0	2	1	745	155	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	 k__Eukaryota_2759; p__Chordata_7711; c__Actinopteri_186623; o__Syngnathiformes_129912; f__Pegasidae_215337; g__Pegasus_215341; s__Pegasus_volitans_215342
