#SampleID	SID	Description
M1000	S	p751_run220617_16S
M1001	S	p751_run220617_16S
M1002	S	p751_run220617_16S
M1003	S	p751_run220617_16S
M1004	S	p751_run220617_16S
M1005	S	p751_run220617_16S
M1006	S	p751_run220617_16S
M1007	S	p751_run220617_16S
M1008	S	p751_run220617_16S
M1009	S	p751_run220617_16S
M1010	S	p751_run220617_16S
M1011	S	p751_run220617_16S
M1012	S	p751_run220617_16S
M1013	S	p751_run220617_16S
M1014	S	p751_run220617_16S
M1015	S	p751_run220617_16S
M1016	S	p751_run220617_16S
M1017	S	p751_run220617_16S
M1018	S	p751_run220617_16S
M1019	S	p751_run220617_16S
M1020	S	p751_run220617_16S
M1021	S	p751_run220617_16S
M1022	S	p751_run220617_16S
M1023	S	p751_run220617_16S
M1024	S	p751_run220617_16S
M1025	S	p751_run220617_16S
M1026	S	p751_run220617_16S
M1027	S	p751_run220617_16S
M1028	S	p751_run220617_16S
M1029	S	p751_run220617_16S
M1030	S	p751_run220617_16S
M1031	S	p751_run220617_16S
M1032	S	p751_run220617_16S
M1033	S	p751_run220617_16S
M1034	S	p751_run220617_16S
M1035	S	p751_run220617_16S
M1036	S	p751_run220617_16S
M1037	S	p751_run220617_16S
M1038	S	p751_run220617_16S
M1039	S	p751_run220617_16S
M1040	S	p751_run220617_16S
M1041	S	p751_run220617_16S
M1042	S	p751_run220617_16S
M1043	S	p751_run220617_16S
M1044	S	p751_run220617_16S
M1045	S	p751_run220617_16S
M1046	S	p751_run220617_16S
M1047	S	p751_run220617_16S
M1048	S	p751_run220617_16S
M1049	S	p751_run220617_16S
M1050	S	p751_run220617_16S
M1051	S	p751_run220617_16S
M1052	S	p751_run220617_16S
M1053	S	p751_run220617_16S
M1054	S	p751_run220617_16S
M1055	S	p751_run220617_16S
M1056	S	p751_run220617_16S
M1057	S	p751_run220617_16S
M1058	S	p751_run220617_16S
M1059	S	p751_run220617_16S
M1060	S	p751_run220617_16S
M1061	S	p751_run220617_16S
M1062	S	p751_run220617_16S
M1063	S	p751_run220617_16S
M1064	S	p751_run220617_16S
M1065	S	p751_run220617_16S
M1066	S	p751_run220617_16S
M1067	S	p751_run220617_16S
M1068	S	p751_run220617_16S
M1069	S	p751_run220617_16S
M1070	S	p751_run220617_16S
M1071	S	p751_run220617_16S
M1072	S	p751_run220617_16S
M1073	S	p751_run220617_16S
M1074	S	p751_run220617_16S
M1075	S	p751_run220617_16S
M1076	S	p751_run220617_16S
M1077	S	p751_run220617_16S
M1078	S	p751_run220617_16S
M1079	S	p751_run220617_16S
M1080	S	p751_run220617_16S
M1081	S	p751_run220617_16S
M1082	S	p751_run220617_16S
M1083	S	p751_run220617_16S
M1084	S	p751_run220617_16S
M1085	S	p751_run220617_16S
M1086	S	p751_run220617_16S
M1087	S	p751_run220617_16S
M1088	S	p751_run220617_16S
M1089	S	p751_run220617_16S
M1090	S	p751_run220617_16S
M1091	S	p751_run220617_16S
M1092	S	p751_run220617_16S
M1093	S	p751_run220617_16S
M1094	S	p751_run220617_16S
M1095	S	p751_run220617_16S
M1096	S	p751_run220617_16S
M1097	S	p751_run220617_16S
M1098	S	p751_run220617_16S
M1099	S	p751_run220617_16S
M1100	S	p751_run220617_16S
M1101	S	p751_run220617_16S
M1102	S	p751_run220617_16S
M1103	S	p751_run220617_16S
M1104	S	p751_run220617_16S
M1105	S	p751_run220617_16S
M1106	S	p751_run220617_16S
M1107	S	p751_run220617_16S
M1108	S	p751_run220617_16S
M1109	S	p751_run220617_16S
M1110	S	p751_run220617_16S
M1111	S	p751_run220617_16S
M1112	S	p751_run220617_16S
M1113	S	p751_run220617_16S
M1114	S	p751_run220617_16S
M1115	S	p751_run220617_16S
M1116	S	p751_run220617_16S
M1117	S	p751_run220617_16S
M1118	S	p751_run220617_16S
M1119	S	p751_run220617_16S
M1120	S	p751_run220617_16S
M1121	S	p751_run220617_16S
M1122	S	p751_run220617_16S
M1123	S	p751_run220617_16S
M1124	S	p751_run220617_16S
M1125	S	p751_run220617_16S
M1126	S	p751_run220617_16S
M1127	S	p751_run220617_16S
M1128	S	p751_run220617_16S
M1129	S	p751_run220617_16S
M1130	S	p751_run220617_16S
M1131	S	p751_run220617_16S
M1132	S	p751_run220617_16S
M1133	S	p751_run220617_16S
M2000	S	p751_run220617_16S
M2001	S	p751_run220617_16S
M2002	S	p751_run220617_16S
M2003	S	p751_run220617_16S
M2004	S	p751_run220617_16S
M2005	S	p751_run220617_16S
M2006	S	p751_run220617_16S
M2007	S	p751_run220617_16S
M2008	S	p751_run220617_16S
M2009	S	p751_run220617_16S
M2010	S	p751_run220617_16S
M2011	S	p751_run220617_16S
M2012	S	p751_run220617_16S
M2013	S	p751_run220617_16S
M2014	S	p751_run220617_16S
M2015	S	p751_run220617_16S
M2016	S	p751_run220617_16S
M2017	S	p751_run220617_16S
M2018	S	p751_run220617_16S
M2019	S	p751_run220617_16S
M2020	S	p751_run220617_16S
M2021	S	p751_run220617_16S
M2022	S	p751_run220617_16S
M2023	S	p751_run220617_16S
M2024	S	p751_run220617_16S
M2025	S	p751_run220617_16S
M2026	S	p751_run220617_16S
M2027	S	p751_run220617_16S
M2028	S	p751_run220617_16S
M2029	S	p751_run220617_16S
M2030	S	p751_run220617_16S
M2031	S	p751_run220617_16S
M2032	S	p751_run220617_16S
M2033	S	p751_run220617_16S
M2034	S	p751_run220617_16S
M2035	S	p751_run220617_16S
M2036	S	p751_run220617_16S
M2037	S	p751_run220617_16S
M2038	S	p751_run220617_16S
M2039	S	p751_run220617_16S
M2040	S	p751_run220617_16S
M2041	S	p751_run220617_16S
M2042	S	p751_run220617_16S
M2043	S	p751_run220617_16S
M2044	S	p751_run220617_16S
M2045	S	p751_run220617_16S
M2046	S	p751_run220617_16S
M2047	S	p751_run220617_16S
M2048	S	p751_run220617_16S
M2049	S	p751_run220617_16S
M2050	S	p751_run220617_16S
M2051	S	p751_run220617_16S
M2052	S	p751_run220617_16S
M2053	S	p751_run220617_16S
M2054	S	p751_run220617_16S
M2055	S	p751_run220617_16S
M2056	S	p751_run220617_16S
M2057	S	p751_run220617_16S
M2058	S	p751_run220617_16S
M2059	S	p751_run220617_16S
M2060	S	p751_run220617_16S
M2061	S	p751_run220617_16S
M2062	S	p751_run220617_16S
M2063	S	p751_run220617_16S
M2064	S	p751_run220617_16S
M2065	S	p751_run220617_16S
M2066	S	p751_run220617_16S
M2067	S	p751_run220617_16S
M2068	S	p751_run220617_16S
