TYPE,ACCESSION,ALIAS,sample_name
SAMPLE,ERS25061981,ena-SAMPLE-TAB-20-06-2025-06:18:14:760-12837,M1000
SAMPLE,ERS25061982,ena-SAMPLE-TAB-20-06-2025-06:18:14:760-12838,M1001
SAMPLE,ERS25061983,ena-SAMPLE-TAB-20-06-2025-06:18:14:760-12839,M1002
SAMPLE,ERS25061984,ena-SAMPLE-TAB-20-06-2025-06:18:14:760-12840,M1003
SAMPLE,ERS25061985,ena-SAMPLE-TAB-20-06-2025-06:18:14:760-12841,M1004
SAMPLE,ERS25061986,ena-SAMPLE-TAB-20-06-2025-06:18:14:760-12842,M1005
SAMPLE,ERS25061987,ena-SAMPLE-TAB-20-06-2025-06:18:14:760-12843,M1006
SAMPLE,ERS25061988,ena-SAMPLE-TAB-20-06-2025-06:18:14:760-12844,M1007
SAMPLE,ERS25061989,ena-SAMPLE-TAB-20-06-2025-06:18:14:760-12845,M1008
SAMPLE,ERS25061990,ena-SAMPLE-TAB-20-06-2025-06:18:14:760-12846,M1009
SAMPLE,ERS25061991,ena-SAMPLE-TAB-20-06-2025-06:18:14:760-12847,M1010
SAMPLE,ERS25061992,ena-SAMPLE-TAB-20-06-2025-06:18:14:760-12848,M1011
SAMPLE,ERS25061993,ena-SAMPLE-TAB-20-06-2025-06:18:14:760-12849,M1012
SAMPLE,ERS25061994,ena-SAMPLE-TAB-20-06-2025-06:18:14:761-12850,M1013
SAMPLE,ERS25061995,ena-SAMPLE-TAB-20-06-2025-06:18:14:761-12851,M1014
SAMPLE,ERS25061996,ena-SAMPLE-TAB-20-06-2025-06:18:14:761-12852,M1015
SAMPLE,ERS25061997,ena-SAMPLE-TAB-20-06-2025-06:18:14:761-12853,M1016
SAMPLE,ERS25061998,ena-SAMPLE-TAB-20-06-2025-06:18:14:761-12854,M1017
SAMPLE,ERS25061999,ena-SAMPLE-TAB-20-06-2025-06:18:14:761-12855,M1018
SAMPLE,ERS25062000,ena-SAMPLE-TAB-20-06-2025-06:18:14:761-12856,M1019
